"","REGION6","FY","MEAN_RISK","NUM_WORKERS"
"1",3,2013,2.04265402843602,213
"2",2,2013,2.36912751677852,152
"3",6,2013,2.45714285714286,538
"4",1,2013,2.56382978723404,194
"5",4,2013,2.40350877192982,116
"6",5,2013,2.60204081632653,199
"7",3,2014,2.47040498442368,325
"8",6,2014,2.80687093779016,1101
"9",5,2014,2.58134490238612,476
"10",4,2014,2.34375,164
"11",1,2014,2.54140127388535,331
"12",2,2014,2.56459330143541,426
"13",1,2015,2.48756218905473,411
"14",6,2015,2.97924901185771,1038
"15",3,2015,2.57909604519774,364
"16",2,2015,2.40885416666667,392
"17",5,2015,2.64415584415584,397
"18",4,2015,2.25438596491228,232
"19",5,2016,2.67191601049869,398
"20",6,2016,2.89639222941721,1116
"21",1,2016,2.37062937062937,293
"22",4,2016,2.26341463414634,215
"23",2,2016,2.8013468013468,312
"24",3,2016,2.14545454545455,174
