location,region_name,,,,
Alabama,SOUTHEAST,,,,
Alaska,OTHER,,,,
American Samoa,OTHER,,,,
Arizona,SOUTHWEST,,,,
Arkansas,SOUTHEAST,,,,
California,CALIFORNIA,,,,
Colorado,NORTHWEST,,,,
Commonwealth of Northern Mariana Islands,OTHER,,,,
Connecticut,EAST,,,,
Delaware,EAST,,,,
District of Columbia,OTHER,,,,
East North Central,OTHER,,,,
East South Central,OTHER,,,,
Florida,SOUTHEAST,,,,
Georgia,SOUTHEAST,,,,
Guam,OTHER,,,,
Hawaii,OTHER,,,,
Idaho,NORTHWEST,,,,
Illinois,MIDWEST,,,,
Indiana,MIDWEST,,,,
Iowa,MIDWEST,,,,
Kansas,MIDWEST,,,,
Kentucky,EAST,,,,
Louisiana,SOUTHEAST,,,,
Maine,EAST,,,,
Maryland,EAST,,,,
Massachusetts,EAST,,,,
Michigan,MIDWEST,,,,
Middle Atlantic,OTHER,,,,
Minnesota,MIDWEST,,,,
Mississippi,SOUTHEAST,,,,
Missouri,MIDWEST,,,,
Montana,NORTHWEST,,,,
Mountain,OTHER,,,,
Nebraska,MIDWEST,,,,
Nevada,NORTHWEST,,,,
New England,OTHER,,,,
New Hampshire,EAST,,,,
New Jersey,EAST,,,,
New Mexico,SOUTHWEST,,,,
New York,EAST,,,,
New York City,EAST,,,,
North Carolina,EAST,,,,
North Dakota,MIDWEST,,,,
Ohio,MIDWEST,,,,
Oklahoma,SOUTHWEST,,,,
Oregon,NORTHWEST,,,,
Pacific,OTHER,,,,
Pennsylvania,EAST,,,,
Puerto Rico,OTHER,,,,
Rhode Island,EAST,,,,
South Atlantic,OTHER,,,,
South Carolina,SOUTHEAST,,,,
South Dakota,MIDWEST,,,,
Tennessee,EAST,,,,
Territories,OTHER,,,,
Texas,SOUTHWEST,,,,
U.S. Virgin Islands,OTHER,,,,
United States,UNITED_STATES,,,,
Utah,NORTHWEST,,,,
Vermont,EAST,,,,
Virginia,EAST,,,,
Washington,NORTHWEST,,,,
West North Central,OTHER,,,,
West South Central,OTHER,,,,
West Virginia,EAST,,,,
Wisconsin,MIDWEST,,,,
Wyoming,NORTHWEST,,,,
